,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Family Aboard,Alone
0,0,3,1,22.0,1,0,7.25,S,Mr,1,0
1,1,1,0,38.0,1,0,71.2833,C,Mrs,1,0
2,1,3,0,26.0,0,0,7.925,S,Miss,0,1
3,1,1,0,35.0,1,0,53.1,S,Mrs,1,0
4,0,3,1,35.0,0,0,8.05,S,Mr,0,1
5,0,3,1,,0,0,8.4583,Q,Mr,0,1
6,0,1,1,54.0,0,0,51.8625,S,Mr,0,1
7,0,3,1,2.0,3,1,21.075,S,Master,4,0
8,1,3,0,27.0,0,2,11.1333,S,Mrs,2,0
9,1,2,0,14.0,1,0,30.0708,C,Mrs,1,0
10,1,3,0,4.0,1,1,16.7,S,Miss,2,0
11,1,1,0,58.0,0,0,26.55,S,Miss,0,1
12,0,3,1,20.0,0,0,8.05,S,Mr,0,1
13,0,3,1,39.0,1,5,31.275,S,Mr,6,0
14,0,3,0,14.0,0,0,7.8542,S,Miss,0,1
15,1,2,0,55.0,0,0,16.0,S,Mrs,0,1
16,0,3,1,2.0,4,1,29.125,Q,Master,5,0
17,1,2,1,,0,0,13.0,S,Mr,0,1
18,0,3,0,31.0,1,0,18.0,S,Mrs,1,0
19,1,3,0,,0,0,7.225,C,Mrs,0,1
20,0,2,1,35.0,0,0,26.0,S,Mr,0,0
21,1,2,1,34.0,0,0,13.0,S,Mr,0,1
22,1,3,0,15.0,0,0,8.0292,Q,Miss,0,1
23,1,1,1,28.0,0,0,35.5,S,Mr,0,1
24,0,3,0,8.0,3,1,21.075,S,Miss,4,0
25,1,3,0,38.0,1,5,31.3875,S,Mrs,6,0
26,0,3,1,,0,0,7.225,C,Mr,0,1
27,0,1,1,19.0,3,2,263.0,S,Mr,5,0
28,1,3,0,,0,0,7.8792,Q,Miss,0,1
29,0,3,1,,0,0,7.8958,S,Mr,0,1
30,0,1,1,40.0,0,0,27.7208,C,Special,0,1
31,1,1,0,,1,0,146.5208,C,Mrs,1,0
32,1,3,0,,0,0,7.75,Q,Miss,0,1
33,0,2,1,66.0,0,0,10.5,S,Mr,0,1
34,0,1,1,28.0,1,0,82.1708,C,Mr,1,0
35,0,1,1,42.0,1,0,52.0,S,Mr,1,0
36,1,3,1,,0,0,7.2292,C,Mr,0,1
37,0,3,1,21.0,0,0,8.05,S,Mr,0,1
38,0,3,0,18.0,2,0,18.0,S,Miss,2,0
39,1,3,0,14.0,1,0,11.2417,C,Miss,1,0
40,0,3,0,40.0,1,0,9.475,S,Mrs,1,0
41,0,2,0,27.0,1,0,21.0,S,Mrs,1,0
42,0,3,1,,0,0,7.8958,C,Mr,0,1
43,1,2,0,3.0,1,2,41.5792,C,Miss,3,0
44,1,3,0,19.0,0,0,7.8792,Q,Miss,0,1
45,0,3,1,,0,0,8.05,S,Mr,0,1
46,0,3,1,,1,0,15.5,Q,Mr,1,0
47,1,3,0,,0,0,7.75,Q,Miss,0,1
48,0,3,1,,2,0,21.6792,C,Mr,2,0
49,0,3,0,18.0,1,0,17.8,S,Mrs,1,0
50,0,3,1,7.0,4,1,39.6875,S,Master,5,0
51,0,3,1,21.0,0,0,7.8,S,Mr,0,1
52,1,1,0,49.0,1,0,76.7292,C,Mrs,1,0
53,1,2,0,29.0,1,0,26.0,S,Mrs,1,0
54,0,1,1,65.0,0,1,61.9792,C,Mr,1,0
55,1,1,1,,0,0,35.5,S,Mr,0,1
56,1,2,0,21.0,0,0,10.5,S,Miss,0,1
57,0,3,1,28.5,0,0,7.2292,C,Mr,0,1
58,1,2,0,5.0,1,2,27.75,S,Miss,3,0
59,0,3,1,11.0,5,2,46.9,S,Master,7,0
60,0,3,1,22.0,0,0,7.2292,C,Mr,0,1
61,1,1,0,38.0,0,0,80.0,S,Miss,0,0
62,0,1,1,45.0,1,0,83.475,S,Mr,1,0
63,0,3,1,4.0,3,2,27.9,S,Master,5,0
64,0,1,1,,0,0,27.7208,C,Mr,0,1
65,1,3,1,,1,1,15.2458,C,Master,2,0
66,1,2,0,29.0,0,0,10.5,S,Mrs,0,1
67,0,3,1,19.0,0,0,8.1583,S,Mr,0,1
68,1,3,0,17.0,4,2,7.925,S,Miss,6,0
69,0,3,1,26.0,2,0,8.6625,S,Mr,2,0
70,0,2,1,32.0,0,0,10.5,S,Mr,0,1
71,0,3,0,16.0,5,2,46.9,S,Miss,7,0
72,0,2,1,21.0,0,0,73.5,S,Mr,0,0
73,0,3,1,26.0,1,0,14.4542,C,Mr,1,0
74,1,3,1,32.0,0,0,56.4958,S,Mr,0,0
75,0,3,1,25.0,0,0,7.65,S,Mr,0,1
76,0,3,1,,0,0,7.8958,S,Mr,0,1
77,0,3,1,,0,0,8.05,S,Mr,0,1
78,1,2,1,0.83,0,2,29.0,S,Master,2,0
79,1,3,0,30.0,0,0,12.475,S,Miss,0,0
80,0,3,1,22.0,0,0,9.0,S,Mr,0,1
81,1,3,1,29.0,0,0,9.5,S,Mr,0,1
82,1,3,0,,0,0,7.7875,Q,Miss,0,1
83,0,1,1,28.0,0,0,47.1,S,Mr,0,1
84,1,2,0,17.0,0,0,10.5,S,Miss,0,1
85,1,3,0,33.0,3,0,15.85,S,Mrs,3,0
86,0,3,1,16.0,1,3,34.375,S,Mr,4,0
87,0,3,1,,0,0,8.05,S,Mr,0,1
88,1,1,0,23.0,3,2,263.0,S,Miss,5,0
89,0,3,1,24.0,0,0,8.05,S,Mr,0,1
90,0,3,1,29.0,0,0,8.05,S,Mr,0,1
91,0,3,1,20.0,0,0,7.8542,S,Mr,0,1
92,0,1,1,46.0,1,0,61.175,S,Mr,1,0
93,0,3,1,26.0,1,2,20.575,S,Mr,3,0
94,0,3,1,59.0,0,0,7.25,S,Mr,0,1
95,0,3,1,,0,0,8.05,S,Mr,0,1
96,0,1,1,71.0,0,0,34.6542,C,Mr,0,1
97,1,1,1,23.0,0,1,63.3583,C,Mr,1,0
98,1,2,0,34.0,0,1,23.0,S,Mrs,1,0
99,0,2,1,34.0,1,0,26.0,S,Mr,1,0
100,0,3,0,28.0,0,0,7.8958,S,Miss,0,1
101,0,3,1,,0,0,7.8958,S,Mr,0,1
102,0,1,1,21.0,0,1,77.2875,S,Mr,1,0
103,0,3,1,33.0,0,0,8.6542,S,Mr,0,1
104,0,3,1,37.0,2,0,7.925,S,Mr,2,0
105,0,3,1,28.0,0,0,7.8958,S,Mr,0,1
106,1,3,0,21.0,0,0,7.65,S,Miss,0,1
107,1,3,1,,0,0,7.775,S,Mr,0,1
108,0,3,1,38.0,0,0,7.8958,S,Mr,0,1
109,1,3,0,,1,0,24.15,Q,Miss,1,0
110,0,1,1,47.0,0,0,52.0,S,Mr,0,0
111,0,3,0,14.5,1,0,14.4542,C,Miss,1,0
112,0,3,1,22.0,0,0,8.05,S,Mr,0,1
113,0,3,0,20.0,1,0,9.825,S,Miss,1,0
114,0,3,0,17.0,0,0,14.4583,C,Miss,0,0
115,0,3,1,21.0,0,0,7.925,S,Mr,0,1
116,0,3,1,70.5,0,0,7.75,Q,Mr,0,1
117,0,2,1,29.0,1,0,21.0,S,Mr,1,0
118,0,1,1,24.0,0,1,247.5208,C,Mr,1,0
119,0,3,0,2.0,4,2,31.275,S,Miss,6,0
120,0,2,1,21.0,2,0,73.5,S,Mr,2,0
121,0,3,1,,0,0,8.05,S,Mr,0,1
122,0,2,1,32.5,1,0,30.0708,C,Mr,1,0
123,1,2,0,32.5,0,0,13.0,S,Miss,0,1
124,0,1,1,54.0,0,1,77.2875,S,Mr,1,0
125,1,3,1,12.0,1,0,11.2417,C,Master,1,0
126,0,3,1,,0,0,7.75,Q,Mr,0,1
127,1,3,1,24.0,0,0,7.1417,S,Mr,0,1
128,1,3,0,,1,1,22.3583,C,Miss,2,0
129,0,3,1,45.0,0,0,6.975,S,Mr,0,1
130,0,3,1,33.0,0,0,7.8958,C,Mr,0,1
131,0,3,1,20.0,0,0,7.05,S,Mr,0,1
132,0,3,0,47.0,1,0,14.5,S,Mrs,1,0
133,1,2,0,29.0,1,0,26.0,S,Mrs,1,0
134,0,2,1,25.0,0,0,13.0,S,Mr,0,1
135,0,2,1,23.0,0,0,15.0458,C,Mr,0,1
136,1,1,0,19.0,0,2,26.2833,S,Miss,2,0
137,0,1,1,37.0,1,0,53.1,S,Mr,1,0
138,0,3,1,16.0,0,0,9.2167,S,Mr,0,0
139,0,1,1,24.0,0,0,79.2,C,Mr,0,0
140,0,3,0,,0,2,15.2458,C,Mrs,2,0
141,1,3,0,22.0,0,0,7.75,S,Miss,0,1
142,1,3,0,24.0,1,0,15.85,S,Mrs,1,0
143,0,3,1,19.0,0,0,6.75,Q,Mr,0,1
144,0,2,1,18.0,0,0,11.5,S,Mr,0,1
145,0,2,1,19.0,1,1,36.75,S,Mr,2,0
146,1,3,1,27.0,0,0,7.7958,S,Mr,0,1
147,0,3,0,9.0,2,2,34.375,S,Miss,4,0
148,0,2,1,36.5,0,2,26.0,S,Mr,2,0
149,0,2,1,42.0,0,0,13.0,S,Rev,0,1
150,0,2,1,51.0,0,0,12.525,S,Rev,0,1
151,1,1,0,22.0,1,0,66.6,S,Mrs,1,0
152,0,3,1,55.5,0,0,8.05,S,Mr,0,1
153,0,3,1,40.5,0,2,14.5,S,Mr,2,0
154,0,3,1,,0,0,7.3125,S,Mr,0,1
155,0,1,1,51.0,0,1,61.3792,C,Mr,1,0
156,1,3,0,16.0,0,0,7.7333,Q,Miss,0,1
157,0,3,1,30.0,0,0,8.05,S,Mr,0,1
158,0,3,1,,0,0,8.6625,S,Mr,0,1
159,0,3,1,,8,2,69.55,S,Master,10,0
160,0,3,1,44.0,0,1,16.1,S,Mr,1,0
161,1,2,0,40.0,0,0,15.75,S,Mrs,0,1
162,0,3,1,26.0,0,0,7.775,S,Mr,0,1
163,0,3,1,17.0,0,0,8.6625,S,Mr,0,1
164,0,3,1,1.0,4,1,39.6875,S,Master,5,0
165,1,3,1,9.0,0,2,20.525,S,Master,2,0
166,1,1,0,,0,1,55.0,S,Mrs,1,0
167,0,3,0,45.0,1,4,27.9,S,Mrs,5,0
168,0,1,1,,0,0,25.925,S,Mr,0,1
169,0,3,1,28.0,0,0,56.4958,S,Mr,0,0
170,0,1,1,61.0,0,0,33.5,S,Mr,0,1
171,0,3,1,4.0,4,1,29.125,Q,Master,5,0
172,1,3,0,1.0,1,1,11.1333,S,Miss,2,0
173,0,3,1,21.0,0,0,7.925,S,Mr,0,1
174,0,1,1,56.0,0,0,30.6958,C,Mr,0,1
175,0,3,1,18.0,1,1,7.8542,S,Mr,2,0
176,0,3,1,,3,1,25.4667,S,Master,4,0
177,0,1,0,50.0,0,0,28.7125,C,Miss,0,1
178,0,2,1,30.0,0,0,13.0,S,Mr,0,1
179,0,3,1,36.0,0,0,0.0,S,Mr,0,0
180,0,3,0,,8,2,69.55,S,Miss,10,0
181,0,2,1,,0,0,15.05,C,Mr,0,1
182,0,3,1,9.0,4,2,31.3875,S,Master,6,0
183,1,2,1,1.0,2,1,39.0,S,Master,3,0
184,1,3,0,4.0,0,2,22.025,S,Miss,2,0
185,0,1,1,,0,0,50.0,S,Mr,0,1
186,1,3,0,,1,0,15.5,Q,Mrs,1,0
187,1,1,1,45.0,0,0,26.55,S,Mr,0,1
188,0,3,1,40.0,1,1,15.5,Q,Mr,2,0
189,0,3,1,36.0,0,0,7.8958,S,Mr,0,1
190,1,2,0,32.0,0,0,13.0,S,Mrs,0,1
191,0,2,1,19.0,0,0,13.0,S,Mr,0,1
192,1,3,0,19.0,1,0,7.8542,S,Miss,1,0
193,1,2,1,3.0,1,1,26.0,S,Master,2,0
194,1,1,0,44.0,0,0,27.7208,C,Mrs,0,1
195,1,1,0,58.0,0,0,146.5208,C,Miss,0,0
196,0,3,1,,0,0,7.75,Q,Mr,0,1
197,0,3,1,42.0,0,1,8.4042,S,Mr,1,0
198,1,3,0,,0,0,7.75,Q,Miss,0,1
199,0,2,0,24.0,0,0,13.0,S,Miss,0,1
200,0,3,1,28.0,0,0,9.5,S,Mr,0,1
201,0,3,1,,8,2,69.55,S,Mr,10,0
202,0,3,1,34.0,0,0,6.4958,S,Mr,0,1
203,0,3,1,45.5,0,0,7.225,C,Mr,0,1
204,1,3,1,18.0,0,0,8.05,S,Mr,0,1
205,0,3,0,2.0,0,1,10.4625,S,Miss,1,0
206,0,3,1,32.0,1,0,15.85,S,Mr,1,0
207,1,3,1,26.0,0,0,18.7875,C,Mr,0,0
208,1,3,0,16.0,0,0,7.75,Q,Miss,0,1
209,1,1,1,40.0,0,0,31.0,C,Mr,0,1
210,0,3,1,24.0,0,0,7.05,S,Mr,0,1
211,1,2,0,35.0,0,0,21.0,S,Miss,0,1
212,0,3,1,22.0,0,0,7.25,S,Mr,0,1
213,0,2,1,30.0,0,0,13.0,S,Mr,0,1
214,0,3,1,,1,0,7.75,Q,Mr,1,0
215,1,1,0,31.0,1,0,113.275,C,Miss,1,0
216,1,3,0,27.0,0,0,7.925,S,Miss,0,1
217,0,2,1,42.0,1,0,27.0,S,Mr,1,0
218,1,1,0,32.0,0,0,76.2917,C,Miss,0,1
219,0,2,1,30.0,0,0,10.5,S,Mr,0,1
220,1,3,1,16.0,0,0,8.05,S,Mr,0,1
221,0,2,1,27.0,0,0,13.0,S,Mr,0,1
222,0,3,1,51.0,0,0,8.05,S,Mr,0,1
223,0,3,1,,0,0,7.8958,S,Mr,0,1
224,1,1,1,38.0,1,0,90.0,S,Mr,1,0
225,0,3,1,22.0,0,0,9.35,S,Mr,0,1
226,1,2,1,19.0,0,0,10.5,S,Mr,0,1
227,0,3,1,20.5,0,0,7.25,S,Mr,0,1
228,0,2,1,18.0,0,0,13.0,S,Mr,0,1
229,0,3,0,,3,1,25.4667,S,Miss,4,0
230,1,1,0,35.0,1,0,83.475,S,Mrs,1,0
231,0,3,1,29.0,0,0,7.775,S,Mr,0,1
232,0,2,1,59.0,0,0,13.5,S,Mr,0,1
233,1,3,0,5.0,4,2,31.3875,S,Miss,6,0
234,0,2,1,24.0,0,0,10.5,S,Mr,0,1
235,0,3,0,,0,0,7.55,S,Miss,0,1
236,0,2,1,44.0,1,0,26.0,S,Mr,1,0
237,1,2,0,8.0,0,2,26.25,S,Miss,2,0
238,0,2,1,19.0,0,0,10.5,S,Mr,0,1
239,0,2,1,33.0,0,0,12.275,S,Mr,0,1
240,0,3,0,,1,0,14.4542,C,Miss,1,0
241,1,3,0,,1,0,15.5,Q,Miss,1,0
242,0,2,1,29.0,0,0,10.5,S,Mr,0,1
243,0,3,1,22.0,0,0,7.125,S,Mr,0,1
244,0,3,1,30.0,0,0,7.225,C,Mr,0,1
245,0,1,1,44.0,2,0,90.0,Q,Dr,2,0
246,0,3,0,25.0,0,0,7.775,S,Miss,0,1
247,1,2,0,24.0,0,2,14.5,S,Mrs,2,0
248,1,1,1,37.0,1,1,52.5542,S,Mr,2,0
249,0,2,1,54.0,1,0,26.0,S,Rev,1,0
250,0,3,1,,0,0,7.25,S,Mr,0,1
251,0,3,0,29.0,1,1,10.4625,S,Mrs,2,0
252,0,1,1,62.0,0,0,26.55,S,Mr,0,1
253,0,3,1,30.0,1,0,16.1,S,Mr,1,0
254,0,3,0,41.0,0,2,20.2125,S,Mrs,2,0
255,1,3,0,29.0,0,2,15.2458,C,Mrs,2,0
256,1,1,0,,0,0,79.2,C,Mrs,0,1
257,1,1,0,30.0,0,0,86.5,S,Miss,0,0
258,1,1,0,35.0,0,0,512.3292,C,Miss,0,0
259,1,2,0,50.0,0,1,26.0,S,Mrs,1,0
260,0,3,1,,0,0,7.75,Q,Mr,0,1
261,1,3,1,3.0,4,2,31.3875,S,Master,6,0
262,0,1,1,52.0,1,1,79.65,S,Mr,2,0
263,0,1,1,40.0,0,0,0.0,S,Mr,0,1
264,0,3,0,,0,0,7.75,Q,Miss,0,1
265,0,2,1,36.0,0,0,10.5,S,Mr,0,1
266,0,3,1,16.0,4,1,39.6875,S,Mr,5,0
267,1,3,1,25.0,1,0,7.775,S,Mr,1,0
268,1,1,0,58.0,0,1,153.4625,S,Mrs,1,0
269,1,1,0,35.0,0,0,135.6333,S,Miss,0,0
270,0,1,1,,0,0,31.0,S,Mr,0,0
271,1,3,1,25.0,0,0,0.0,S,Mr,0,0
272,1,2,0,41.0,0,1,19.5,S,Mrs,1,0
273,0,1,1,37.0,0,1,29.7,C,Mr,1,0
274,1,3,0,,0,0,7.75,Q,Miss,0,1
275,1,1,0,63.0,1,0,77.9583,S,Miss,1,0
276,0,3,0,45.0,0,0,7.75,S,Miss,0,1
277,0,2,1,,0,0,0.0,S,Mr,0,0
278,0,3,1,7.0,4,1,29.125,Q,Master,5,0
279,1,3,0,35.0,1,1,20.25,S,Mrs,2,0
280,0,3,1,65.0,0,0,7.75,Q,Mr,0,1
281,0,3,1,28.0,0,0,7.8542,S,Mr,0,1
282,0,3,1,16.0,0,0,9.5,S,Mr,0,1
283,1,3,1,19.0,0,0,8.05,S,Mr,0,1
284,0,1,1,,0,0,26.0,S,Mr,0,1
285,0,3,1,33.0,0,0,8.6625,C,Mr,0,1
286,1,3,1,30.0,0,0,9.5,S,Mr,0,1
287,0,3,1,22.0,0,0,7.8958,S,Mr,0,1
288,1,2,1,42.0,0,0,13.0,S,Mr,0,1
289,1,3,0,22.0,0,0,7.75,Q,Miss,0,1
290,1,1,0,26.0,0,0,78.85,S,Miss,0,0
291,1,1,0,19.0,1,0,91.0792,C,Mrs,1,0
292,0,2,1,36.0,0,0,12.875,C,Mr,0,1
293,0,3,0,24.0,0,0,8.85,S,Miss,0,1
294,0,3,1,24.0,0,0,7.8958,S,Mr,0,1
295,0,1,1,,0,0,27.7208,C,Mr,0,1
296,0,3,1,23.5,0,0,7.2292,C,Mr,0,1
